Name,Dim/Fact,Dim,Fact,,,,,,,,,,,
adult,Dim,Movie,,,,,,,,,,,,
belongs_to_collection,Dim,Movie,,,,,,,,,,Dim_Date,,
budget,Fact,,MovieFact,,,,,,,,,Date_ID,,
genres,Dim,Movie,,,,,,,,,,Year,,
Movie_id,Dim,Movie,,,,,,,,,,Quarter,,
imdb_id,Dim,Movie,,,,,,,,,,Month,,
original_language,Dim,Movie,,,,,,,,,,Week,,Dim_Cast
original_title,Dim,Movie,,,,Dim_Spoken Lang,,Dim_Movie,,MovieFact,,Day,,cast_id
overview,Dim,Movie,,,,iso,,Movie_id,,Dim_Date,,,,character
popularity,Fact,,MovieFact,,,name,,adult,,Dim_Crew,,,,gender
poster_path,Dim,Movie,,,,Spoken_lang_LP,,imdb_id,,Dim_Cast,,,,name
production_companies,Dim,Movie,,,,,,original_language,,Dim_Movie,,,,order
production_countries,Dim,Movie,,,,,,original_title,,budget,,,,
release_date,Dim,Movie,,,,Dim_Generes,,release_date,,popularity,,,,
revenue,Fact,,MovieFact,,,Id,,runtime,,revenue,,,,
runtime,Fact,Movie,,,,genres,,Spoken_lang_LP,,vote_average,,Dim_Crew,,
spoken_languages,Dim,Movie,,,,Generes_LP,,Generes_LP,,vote_count,,Crew_ID,,
status,Dim,Movie,,,,,,Production_company_LP,,Normalize_revenue,,department,,
tagline,Dim,Movie,,,,Dim_Production Company,,,,,,gender,,
title,Dim,Movie,,,,name ,,,,,,job,,
video,Dim,Movie,,,,Id,,,,,,name,,
vote_average,Fact,,MovieFact,,,production_company_LP,,,,,,,,
vote_count,Fact,,MovieFact,,,,,,,,,,,
genres,Dim,Genere,,,,,,,,,,,,
movie_id,Dim,Genere,,,,,,,,,,,,
credit_id,Dim,Crew,,,,,,,,,,,,
department,Dim,Crew,,,,,,,,,,,,
gender,Dim,Crew,,,,,,,,,,,,
job,Dim,Crew,,,,,,,,,,,,
name,Dim,Crew,,,,,,,,,,,,
movie_id,Dim,Crew,,,,,,,,,,,,
cast_id,Dim,Cast,,,,,,,,,,,,
character,Dim,Cast,,,,,,,,,,,,
credit_id,Dim,Cast,,,,,,,,,,,,
gender,Dim,Cast,,,,,,,,,,,,
name,Dim,Cast,,,,,,,,,,,,
order,Dim,Cast,,,,,,,,,,,,
profile_path,Dim,Cast,,,,,,,,,,,,
movie_id,Dim,Cast,,,,,,,,,,,,
